file,line,matched_text,is_actual_import_code,reason
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,266,"""- Win odds: prefer `NL_O1.TanOdds` for the canonical odds table. `NL_SE.Odds` appears to be final win odds in runner results and should be treated as post-result/evaluation unless the timing is confirmed."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,267,"""- Place odds: use `NL_O1.FukuOddsLow` and `NL_O1.FukuOddsHigh`."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,284,"""`NL_O1`: `TanOdds`, `TanNinki`, `FukuOddsLow`, `FukuOddsHigh`, `FukuNinki`, and vote columns only when using a clearly defined pre-deadline snapshot. For final odds modeling, keep them as market features but document the prediction timing."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,294,"""`NL_SE.Odds/Ninki` and `NL_O1.TanOdds/TanNinki` may be final odds. They are acceptable only if the intended prediction point is immediately before betting close and the same timing can be reproduced. For stricter no-leakage prediction, use `TS_O1` or `TS_SOKUHO_O1` snapshots filtered by time."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,302,"""Build a thin dataset extraction script with explicit selected columns, an as-of date filter, and no broad aggregation. Start from `NL_SE`, join `NL_RA` and `NL_O1`, create targets from `KakuteiJyuni`, and create win evaluation returns from `NL_HR`. Before modeling place ROI, resolve the complete source for all place payouts. After that, add historical rolling features using only races before each target race."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_main_tables.py,320,"print(""[join] NL_SE + NL_RA + NL_O1 + NL_HR LIMIT 20"", flush=True)",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_sqlite.py,19,"""NL_O1"", ""RT_O1"", ""TS_O1"", ""TS_SOKUHO_O1"",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_sqlite.py,184,"""- Odds tables: `NL_O1` / `RT_O1` / `TS_O1` / `TS_SOKUHO_O1` contain win/place odds fields such as `TanOdds`, `FukuOddsLow`, `FukuOddsHigh`."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\scripts\inspect_sqlite.py,189,"""Use `RT_SE` or `NL_SE` as the base runner table. Join `RT_RA`/`NL_RA` by race key, and join `RT_O1`/`NL_O1` or time-series `TS_O1` by race key plus `Umaban`. Payout tables join by race key and then require bet-type/combination decoding for win/place returns."",",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\src\features\feature_sets.py,16,"MARKET_RAW_COLUMNS = {""TanOdds"", ""TanNinki"", ""FukuOddsLow"", ""FukuOddsHigh"", ""FukuNinki""}",False,reference only
C:\Users\leole\siera_ws\src\keiba_prediction_ai\src\features\feature_sets_v2_1.py,23,"RAW_MARKET_COLUMNS = {""TanOdds"", ""TanNinki"", ""FukuOddsLow"", ""FukuOddsHigh"", ""FukuNinki""}",False,reference only
